iter	Passed	Remaining
0	91	91235
1	91	45847
2	92	30700
3	92	23122
4	93	18586
5	93	15563
6	94	13420
7	95	11807
8	95	10542
9	96	9527
10	96	8697
11	97	8005
12	97	7420
13	98	6920
14	98	6486
15	99	6104
16	100	5783
17	100	5489
18	101	5222
19	101	4979
20	102	4760
21	102	4561
22	103	4380
23	103	4214
24	104	4060
25	104	3918
26	105	3787
27	105	3669
28	106	3561
29	106	3456
30	107	3357
31	107	3264
32	108	3176
33	108	3093
34	109	3015
35	109	2941
36	110	2871
37	110	2805
38	111	2745
39	112	2688
40	112	2632
41	113	2579
42	113	2527
43	114	2478
44	114	2431
45	115	2385
46	115	2342
47	116	2301
48	116	2261
49	117	2227
50	117	2193
51	118	2158
52	118	2123
53	119	2090
54	119	2058
55	120	2027
56	120	1997
57	121	1969
58	121	1941
59	122	1914
60	122	1891
61	123	1868
62	124	1845
63	124	1821
64	125	1798
65	125	1776
66	126	1754
67	126	1734
68	127	1713
69	127	1693
70	127	1674
71	128	1655
72	129	1639
73	129	1622
74	130	1605
75	130	1589
76	131	1572
77	131	1556
78	132	1540
79	132	1526
80	133	1511
81	133	1496
82	133	1479
83	134	1465
84	135	1454
85	135	1442
86	136	1429
87	136	1416
88	137	1404
89	137	1391
90	138	1379
91	138	1368
92	139	1356
93	139	1345
94	140	1334
95	140	1323
96	141	1313
97	141	1303
98	142	1293
99	142	1283
100	143	1274
101	143	1264
102	144	1256
103	144	1248
104	145	1239
105	145	1230
106	146	1221
107	146	1213
108	147	1205
109	148	1197
110	148	1189
111	149	1181
112	149	1173
113	149	1165
114	150	1157
115	150	1150
116	151	1142
117	151	1134
118	152	1127
119	152	1120
120	153	1115
121	153	1108
122	154	1101
123	154	1094
124	155	1088
125	155	1081
126	156	1074
127	156	1068
128	157	1062
129	157	1056
130	158	1049
131	158	1043
132	159	1038
133	159	1033
134	160	1028
135	161	1023
136	161	1018
137	162	1012
138	162	1007
139	163	1001
140	163	997
141	164	991
142	164	986
143	165	981
144	165	977
145	166	973
146	166	968
147	167	963
148	167	959
149	168	954
150	168	950
151	169	945
152	170	941
153	170	936
154	170	931
155	171	928
156	172	924
157	172	920
158	173	916
159	173	912
160	174	907
161	174	903
162	175	899
163	175	895
164	176	891
165	176	887
166	177	883
167	177	880
168	178	876
169	178	873
170	179	869
171	179	866
172	180	862
173	180	858
174	181	855
175	181	851
176	182	848
177	182	844
178	183	842
179	184	839
180	184	836
181	185	832
182	185	830
183	186	828
184	187	825
185	187	822
186	188	819
187	188	816
188	189	814
189	190	812
190	191	809
191	191	806
192	192	803
193	192	800
194	193	797
195	193	794
196	194	791
197	194	788
198	195	785
199	195	783
200	196	780
201	196	778
202	197	775
203	197	772
204	198	769
205	198	766
206	199	764
207	199	761
208	200	758
209	200	755
210	201	752
211	201	750
212	202	748
213	203	746
214	203	743
215	204	741
216	204	738
217	205	736
218	205	733
219	206	731
220	206	728
221	207	725
222	207	724
223	208	722
224	209	720
225	209	717
226	210	715
227	210	713
228	211	710
229	211	708
230	212	706
231	212	703
232	213	701
233	213	699
234	214	697
235	214	695
236	215	693
237	215	691
238	216	688
239	216	686
240	217	684
241	217	682
242	218	679
243	218	677
244	219	675
245	219	674
246	220	672
247	221	670
248	221	668
249	222	666
250	222	664
251	223	662
252	223	660
253	224	659
254	224	657
255	225	655
256	226	653
257	226	651
258	227	650
259	227	648
260	228	646
261	228	644
262	229	642
263	230	641
264	230	639
265	231	637
266	231	636
267	232	634
268	232	633
269	233	631
270	234	629
271	234	627
272	234	625
273	235	623
274	235	622
275	236	620
276	237	618
277	237	617
278	238	615
279	238	614
280	239	612
281	240	611
282	240	609
283	240	607
284	241	605
285	241	604
286	242	602
287	242	600
288	243	599
289	243	597
290	244	596
291	245	594
292	245	592
293	246	591
294	246	589
295	247	588
296	247	586
297	248	584
298	248	583
299	249	581
300	249	580
301	250	578
302	251	577
303	251	576
304	252	574
305	252	573
306	253	571
307	253	570
308	254	569
309	255	567
310	255	566
311	256	564
312	256	563
313	257	562
314	257	561
315	258	559
316	259	558
317	259	556
318	260	555
319	260	553
320	261	552
321	261	550
322	262	549
323	270	564
324	271	563
325	271	562
326	272	560
327	273	559
328	273	558
329	274	556
330	274	555
331	275	553
332	275	552
333	276	551
334	277	550
335	277	549
336	278	547
337	279	546
338	279	545
339	280	543
340	280	542
341	281	540
342	282	540
343	282	539
344	283	538
345	284	537
346	284	536
347	285	534
348	285	533
349	286	532
350	287	530
351	287	529
352	288	528
353	288	527
354	289	526
355	290	525
356	291	524
357	291	523
358	292	522
359	293	520
360	293	519
361	294	518
362	294	517
363	295	516
364	296	515
365	296	514
366	297	513
367	298	512
368	298	511
369	299	510
370	300	509
371	300	508
372	301	506
373	302	505
374	302	504
375	303	503
376	303	502
377	304	501
378	305	500
379	305	498
380	306	497
381	307	497
382	307	496
383	308	494
384	309	493
385	309	492
386	310	491
387	310	490
388	311	489
389	312	488
390	313	487
391	313	486
392	314	485
393	314	484
394	315	483
395	315	481
396	316	480
397	317	479
398	317	478
399	318	478
400	319	477
401	320	476
402	320	475
403	321	474
404	321	473
405	322	472
406	323	471
407	324	470
408	325	470
409	325	469
410	326	468
411	327	467
412	327	466
413	328	465
414	329	464
415	330	463
416	330	462
417	331	461
418	332	460
419	332	459
420	333	458
421	333	457
422	334	456
423	334	455
424	335	454
425	336	453
426	336	452
427	337	450
428	338	450
429	338	449
430	339	448
431	340	447
432	340	446
433	341	445
434	342	444
435	342	443
436	343	442
437	343	441
438	344	440
439	345	439
440	345	438
441	346	437
442	347	436
443	347	435
444	348	434
445	349	433
446	349	432
447	350	431
448	350	430
449	351	429
450	351	428
451	352	427
452	353	426
453	354	425
454	354	424
455	355	423
456	355	422
457	356	421
458	356	420
459	357	419
460	357	418
461	358	417
462	359	416
463	359	415
464	360	414
465	361	413
466	361	412
467	362	411
468	362	410
469	363	409
470	363	408
471	364	407
472	365	406
473	365	405
474	367	405
475	367	405
476	368	404
477	369	403
478	369	402
479	370	401
480	370	400
481	371	399
482	372	398
483	372	397
484	373	396
485	374	395
486	374	394
487	375	393
488	375	392
489	376	391
490	376	390
491	377	389
492	378	388
493	378	387
494	379	386
495	379	386
496	380	385
497	380	384
498	381	383
499	382	382
500	382	381
501	383	380
502	383	379
503	384	378
504	384	377
505	385	376
506	386	375
507	386	374
508	387	373
509	387	372
510	388	371
511	389	370
512	390	370
513	390	369
514	391	368
515	392	367
516	392	366
517	393	365
518	393	364
519	394	363
520	394	363
521	396	362
522	396	362
523	397	361
524	398	360
525	399	359
526	399	358
527	400	357
528	400	356
529	401	356
530	402	355
531	403	354
532	403	353
533	404	352
534	405	352
535	405	351
536	406	350
537	406	349
538	407	348
539	408	347
540	409	347
541	409	346
542	410	345
543	410	344
544	411	343
545	412	342
546	412	341
547	413	340
548	414	340
549	415	339
550	415	338
551	416	337
552	417	337
553	417	336
554	418	335
555	418	334
556	419	333
557	420	332
558	420	332
559	421	331
560	422	330
561	422	329
562	423	328
563	424	327
564	424	326
565	425	325
566	425	325
567	426	324
568	427	323
569	427	322
570	428	321
571	428	320
572	429	320
573	430	319
574	430	318
575	431	317
576	431	316
577	432	315
578	433	314
579	433	314
580	434	313
581	435	312
582	435	311
583	436	310
584	436	309
585	437	308
586	437	308
587	438	307
588	439	306
589	439	305
590	440	304
591	441	303
592	441	303
593	442	302
594	442	301
595	443	300
596	443	299
597	444	298
598	445	298
599	446	297
600	446	296
601	447	295
602	447	294
603	448	293
604	448	293
605	449	292
606	450	291
607	450	290
608	451	289
609	452	289
610	452	288
611	453	287
612	453	286
613	454	285
614	455	284
615	455	284
616	456	283
617	457	282
618	457	281
619	458	280
620	458	280
621	459	279
622	459	278
623	460	277
624	461	276
625	461	275
626	462	275
627	463	274
628	463	273
629	464	272
630	464	271
631	465	271
632	465	270
633	466	269
634	467	268
635	467	267
636	468	266
637	469	266
638	469	265
639	470	264
640	470	263
641	471	262
642	471	262
643	472	261
644	472	260
645	473	259
646	474	258
647	474	257
648	475	257
649	476	256
650	476	255
651	477	254
652	477	253
653	478	253
654	478	252
655	479	251
656	479	250
657	480	249
658	481	249
659	482	248
660	482	247
661	483	246
662	483	245
663	484	245
664	484	244
665	485	243
666	486	242
667	486	241
668	487	241
669	488	240
670	488	239
671	489	238
672	489	237
673	490	237
674	490	236
675	491	235
676	491	234
677	492	233
678	493	233
679	493	232
680	494	231
681	495	230
682	495	230
683	496	229
684	496	228
685	497	227
686	498	226
687	498	226
688	499	225
689	500	224
690	500	223
691	501	223
692	501	222
693	502	221
694	502	220
695	503	219
696	504	219
697	505	218
698	505	217
699	506	216
700	506	216
701	507	215
702	507	214
703	508	213
704	509	212
705	509	212
706	510	211
707	511	210
708	511	210
709	512	209
710	512	208
711	513	207
712	513	206
713	514	206
714	514	205
715	515	204
716	516	203
717	517	203
718	517	202
719	518	201
720	519	200
721	519	200
722	520	199
723	520	198
724	521	197
725	521	196
726	522	196
727	523	195
728	523	194
729	524	194
730	525	193
731	525	192
732	526	191
733	526	190
734	527	190
735	528	189
736	529	188
737	530	188
738	530	187
739	531	186
740	531	185
741	532	185
742	532	184
743	533	183
744	534	182
745	534	182
746	535	181
747	536	180
748	536	179
749	537	179
750	537	178
751	538	177
752	538	176
753	539	175
754	540	175
755	540	174
756	541	173
757	542	173
758	542	172
759	543	171
760	543	170
761	544	169
762	544	169
763	545	168
764	545	167
765	546	166
766	547	166
767	547	165
768	548	164
769	548	163
770	549	163
771	549	162
772	550	161
773	550	160
774	551	159
775	551	159
776	552	158
777	553	157
778	553	157
779	554	156
780	554	155
781	555	154
782	555	154
783	556	153
784	556	152
785	557	151
786	558	151
787	558	150
788	559	149
789	559	148
790	560	147
791	560	147
792	561	146
793	561	145
794	561	144
795	562	144
796	562	143
797	563	142
798	564	141
799	564	141
800	565	140
801	565	139
802	566	138
803	566	138
804	567	137
805	567	136
806	568	135
807	568	135
808	569	134
809	570	133
810	570	132
811	571	132
812	571	131
813	572	130
814	572	129
815	573	129
816	573	128
817	574	127
818	574	126
819	575	126
820	575	125
821	576	124
822	577	124
823	577	123
824	578	122
825	578	121
826	579	121
827	580	120
828	580	119
829	581	119
830	581	118
831	582	117
832	583	116
833	583	116
834	584	115
835	585	114
836	585	114
837	586	113
838	586	112
839	587	111
840	588	111
841	588	110
842	589	109
843	589	109
844	590	108
845	591	107
846	591	106
847	592	106
848	592	105
849	593	104
850	593	103
851	594	103
852	595	102
853	595	101
854	596	101
855	596	100
